Codice Articolo;Descrizione;EAN13;UM;ID_Prodotto;ID_variante;Descr_web;pesotassabile;Prezzo;PrezzoNoIva;Iva;Dispnetta
10.CPRS04.1;CONITIN IMPREGNANTE PRS Y04 NOCE SC.LT20;8024060379410;NR;280060;117763;NULL;18.390000000;257.310000;257.310000;22;5.000000000
10.CPRSI.1;CONITIN IMPREGNANTE PRS INCOLORE LT20;8024060378918;NR;280060;117761;NULL;18.390000000;194.620000;194.620000;22;13.000000000
10.CVLI.2;CONITIN VERNICE LUCIDA INCOLORE LT2,5;8024060324922;NR;280057;117804;NULL;2.620000000;42.230000;42.230000;22;46.000000000
10.CVLI.3;CONITIN VERNICE LUCIDA INCOLORE ML750;8024060324939;NR;280057;117806;NULL;0.800000000;13.810000;13.810000;22;130.000000000
10.CVLI.4;CONITIN VERNICE LUCIDA INCOLORE ML375;8024060324946;NR;280057;117805;NULL;0.430000000;7.970000;7.970000;22;48.000000000
11.SL700.2;SINPUR SMALTO LUCIDO 700 BIANCO LT2,5;8024060289726;NR;280020;118227;NULL;3.400000000;65.590000;65.590000;22;59.000000000
11.SL700.3;SINPUR SMALTO LUCIDO 700 BIANCO ML750;8024060289733;NR;280020;118229;NULL;1.030000000;21.570000;21.570000;22;54.000000000
11.SL700.4;SINPUR SMALTO LUCIDO 700 BIANCO ML375;8024060289740;NR;280020;118228;NULL;0.550000000;12.710000;12.710000;22;41.000000000
11.SL701.2;SINPUR SMALTO LUCIDO COL.701 LT2,5;8024060270120;NR;280020;118239;NULL;3.420000000;65.590000;65.590000;22;2.000000000
11.SL701.3;SINPUR SMALTO LUCIDO COL.701 ML750;8024060270137;NR;280020;118241;NULL;1.040000000;21.570000;21.570000;22;28.000000000
11.SL701.4;SINPUR SMALTO LUCIDO COL.701 ML375;8024060270144;NR;280020;118240;NULL;0.550000000;12.710000;12.710000;22;15.000000000
11.SL702.2;SINPUR SMALTO LUCIDO COL.702 LT2,5;8024060270229;NR;280020;118242;NULL;3.520000000;65.590000;65.590000;22;5.000000000
11.SL702.3;SINPUR SMALTO LUCIDO COL.702 ML750;8024060270236;NR;280020;118244;NULL;1.070000000;21.570000;21.570000;22;54.000000000
11.SL702.4;SINPUR SMALTO LUCIDO COL.702 ML375;8024060270243;NR;280020;118243;NULL;0.570000000;12.710000;12.710000;22;46.000000000
11.SL710.2;SINPUR SMALTO LUCIDO COL.710 (GI) LT2,5;8024060271028;NR;280020;118245;NULL;3.020000000;73.450000;73.450000;22;2.000000000
11.SL710.3;SINPUR SMALTO LUCIDO COL.710 (GI) ML750;8024060271035;NR;280020;118247;NULL;0.920000000;24.190000;24.190000;22;26.000000000
11.SL710.4;SINPUR SMALTO LUCIDO COL.710 (GI) ML375;8024060271042;NR;280020;118246;NULL;0.490000000;14.270000;14.270000;22;21.000000000
11.SL712.2;SINPUR SMALTO LUCIDO COL.712 LT2,5;"8024060271226  ";NR;280020;118248;NULL;3.070000000;73.450000;73.450000;22;2.000000000
11.SL712.3;SINPUR SMALTO LUCIDO COL.712 ML750;8024060271233;NR;280020;118250;NULL;0.930000000;24.190000;24.190000;22;38.000000000
11.SL712.4;SINPUR SMALTO LUCIDO COL.712 ML375;"8024060271240      ";NR;280020;118249;NULL;0.500000000;14.270000;14.270000;22;22.000000000
11.SL713.2;SINPUR SMALTO LUCIDO COL.713 (RS) LT2,5;8024060271325;NR;280020;118251;NULL;3.020000000;73.450000;73.450000;22;6.000000000
11.SL713.3;SINPUR SMALTO LUCIDO COL.713 (RS) ML750;8024060271332;NR;280020;118253;NULL;0.920000000;24.190000;24.190000;22;22.000000000
11.SL713.4;SINPUR SMALTO LUCIDO COL.713 (RS) ML375;8024060271349;NR;280020;118252;NULL;0.490000000;14.270000;14.270000;22;2.000000000
11.SL714.2;SINPUR SMALTO LUCIDO COL.714 LT2,5;"8024060271424   ";NR;280020;118254;NULL;3.070000000;65.590000;65.590000;22;4.000000000
11.SL714.3;SINPUR SMALTO LUCIDO COL.714 ML750;8024060271431;NR;280020;118256;NULL;0.930000000;21.570000;21.570000;22;62.000000000
11.SL714.4;SINPUR SMALTO LUCIDO COL.714 ML375;"8024060271448     ";NR;280020;118255;NULL;0.500000000;12.710000;12.710000;22;15.000000000
